id,lat,lon,type,description
39,41.79627903,-87.85265276,H,Chicago FedEx Ground
40,45.0728742,-93.18897499,H,Minneapolis FedEx Ground
41,41.21602322,-95.87387957,H,Omaha FedEx Ground
42,39.17348896,-94.4170489,H,Kansas City FedEx Ground
43,34.64440635,-92.40402181,H,Little Rock FedEx Ground
44,46.78634861,-100.7382215,H,Bismarck FedEx Ground
45,44.1080747,-103.15699,H,Rapid City FedEx Ground
46,35.44788385,-97.56263134,H,Oklahoma City FedEx Ground
47,32.8472852,-96.89872992,H,Dallas FedEx Ground
48,29.45385687,-98.61486551,H,San Antonio FedEx Ground
49,42.86089954,-106.3571976,H,Casper FedEx Ground
50,39.90235501,-105.1364225,H,Denver FedEx Ground
51,35.08626334,-106.734616,H,Albuquerque FedEx Ground
52,43.54149895,-116.1858835,H,Boise FedEx Ground
53,40.8568935,-111.9181471,H,Salt Lake City FedEx Ground
54,33.69535922,-112.0848487,H,Phoenix FedEx Ground
55,36.25687477,-115.0474345,H,Las Vegas FedEx Ground
56,47.56199636,-122.3317972,R,Seattle
57,47.26102055,-122.4097954,R,Tacoma
58,45.48951046,-122.6438036,R,Portland
59,37.80122645,-122.2988075,R,Oakland
60,37.84338736,-121.2637056,R,Lathrop
61,34.00965519,-118.1795442,R,Los Angeles
62,34.06036923,-118.221046,R,LATC
63,34.01053926,-117.9395941,R,City of Industry
64,33.81603704,-118.2247545,R,ICTF
65,34.06694049,-117.4169285,R,Inland Empire
66,39.53161045,-119.7552989,R,Sparks
67,36.27263998,-115.0684047,R,Las Vegas
68,40.75174614,-112.0112575,R,Salt Lake City
69,33.4439923,-112.054696,R,Phoenix
70,32.12289651,-110.8460097,R,Tucson
71,39.77525166,-104.9641739,R,Denver
72,"31.909094626155575, ",-106.7520165,R,Santa Teresa
73,44.97830213,-93.21377162,R,Twin Cities
74,"41.23518117928084, ",-95.83754158,R,Council Bluffs
75,39.12402542,-94.52295317,R,Kansas City
76,32.78350074,-96.66134575,R,Mesquite
77,32.61877923,-96.69799637,R,Wilmer
78,29.31047014,-98.64064978,R,San Antonio
79,27.66560153,-99.44681379,R,Laredo
80,29.82103205,-95.28989528,R,Settegast
81,41.89579221,-87.90211213,R,Northlake
82,41.46763378,-88.10900734,R,Joliet
83,41.62808064,-87.61318592,R,Dolton
84,38.51570656,-90.21331323,R,St. Louis
85,35.19681021,-90.26403883,R,Marion
86,29.91728109,-90.20128564,R,New Orleans
87,44.94474061,-93.07947675,W,port of Saint Paul
88,42.50701231,-90.65205799,W,port of Dubuque
89,38.65199404,-90.18323876,W,port of St. Louis
90,30.05709606,-90.5642078,W,port of South Louisiana
91,35.0816601,-90.13195821,W,port of Memphis
92,36.22981524,-95.73159724,W,port of Tulsa
93,41.72935867,-87.53323342,W,port of Chicago
94,40.48063557,-80.05725305,W,port of Pittsburgh
95,39.41602324,-81.45414012,W,Mid-Ohio Valley port
96,38.40862119,-82.58626527,W,port of Huntington Tri-State
97,39.09612487,-84.53047706,W,port of Cincinnati
98,38.15732806,-85.89846314,W,port of Louisville
99,37.06849412,-88.58146197,W,port of Paducah
100,35.94861212,-83.84013829,W,Knoxville
101,"36.15838530606099, ",-86.75214305,W,port of Nashiville
102,34.65579195,-87.07190808,W,port of Decatur
103,41.23672863,-95.90633421,W,Omaha
104,39.11087704,-94.60619542,W,port of Kansas City
105,32.38901161,-90.88560137,W,port of Vicksburg
106,30.71714525,-88.04401243,W,port of Mobile
107,30.43463774,-91.20296424,W,port of Greater Baton Rouge
108,32.36213432,-93.62914492,W,Shreveport
